Team ID,Team Name,Country,City
3709,UiOslo_Norway,NORWAY,Oslo
3710,Manchester,UNITED KINGDOM,Manchester
3711,HUST-China,CHINA,Wuhan
3712,HUSTBIONANO-China,CHINA,Wuhan
3713,UIUC_Illinois,UNITED STATES,Urbana
3714,SJTU-BioX-Shanghai,CHINA,Shanghai
3715,TJUSLS_China,CHINA,Tianjin
3716,iBowu-China,CHINA,Beijing
3717,TAS_Taipei,TAIWAN,Taipei
3718,Hong_Kong_UCCKE,HONG KONG,Hong Kong
3719,MichiganState,UNITED STATES,East Lansing
3720,Qdai,JAPAN,Fukuoka
3721,MIT_MAHE,INDIA,Manipal
3722,NWU-CHINA-A,CHINA,Xi'an
3723,USAFA,UNITED STATES,Colorado Springs
3724,Rochester,UNITED STATES,Rochester
3725,Lambert_GA,UNITED STATES,Suwanee
3726,MADRID_UCM,SPAIN,MADRID
3727,Thessaloniki,GREECE,Thessaloniki
3728,Mingdao,TAIWAN,Taichung City
3729,KCIS_NewTaipei,TAIWAN,New Taipei City
3730,ZJU-China,CHINA,Hangzhou
3731,Nanjing-China,CHINA,Nanjing
3732,FAFU-CHINA,CHINA,Fuzhou
3733,HZAU-China,CHINA,Wuhan
3734,CSU_CHINA,CHINA,Changsha
3735,NAU-CHINA,CHINA,Nanjing
3736,NCTU_Formosa,TAIWAN,Hsinchu
3737,Alma,UNITED STATES,Alma
3738,Lethbridge,CANADA,Lethbridge
3739,XMU-China,CHINA,Xiamen
3740,SZPT-CHINA,CHINA,Shenzhen
3741,SJTU-Software,CHINA,Shanghai
3742,BUCT-China,CHINA,Beijing
3743,AFCM-Egypt,EGYPT,Cairo
3744,IISER_Mohali,INDIA,Mohali
3745,BNDS_China,CHINA,Beijing
3746,Hong_Kong_JSS,HONG KONG,Hong Kong
3747,Wageningen_UR,NETHERLANDS,Wageningen
3748,Groningen,NETHERLANDS,Groningen
3749,UNESP_Brazil,BRAZIL,Araraquara
3750,UNSW_Australia,AUSTRALIA,Randwick
3752,Warwick,UNITED KINGDOM,Coventry
3753,NJTech_China,CHINA,Nanjing
3755,ShanghaiTech_China,CHINA,Shanghai
3756,NJU-China,CHINA,Nanjing
3757,Tuebingen,GERMANY,Tuebingen
3758,Marburg,GERMANY,Marburg
3759,BJEA_China,CHINA,Beijing
3760,LZU-CHINA,CHINA,Lanzhou
3761,UA_Huntsville,UNITED STATES,Huntsville
3762,NTNU-Trondheim,NORWAY,Trondheim
3763,WHU-China,CHINA,Wuhan
3764,Bulgaria,BULGARIA,Sofia
3765,IISc-Bangalore,INDIA,Bengaluru
3766,Evry_Paris-Saclay,FRANCE,Evry-Courcouronnes
3767,Queens_Canada,CANADA,Kingston
3768,Concordia-Montreal,CANADA,Montreal
3769,FZU-China,CHINA,Fuzhou
3770,SNU_India,INDIA,Uttar Pradesh
3771,NCKU_Tainan,TAIWAN,Tainan
3772,SCUT-China,CHINA,Guangzhou
3773,William_and_Mary,UNITED STATES,Williamsburg
3774,Aachen,GERMANY,Aachen
3775,SDSU,UNITED STATES,San Diego
3776,HK_SSC,HONG KONG,Hong Kong
3777,OUC-China,CHINA,Qingdao
3778,CCU_Taiwan,TAIWAN,Chiayi
3779,NWU-CHINA-B,CHINA,Xi
